,Recency,Frequency,Monetary,AvgOrderValue,ItemsPerTransaction
4,2.4381274673626483,-0.8546716091683684,-0.6358481126938235,0.4580872748346112,0.41298778984528467
5,-0.6092257333990658,2.4489546442764922,2.5703782141150437,0.30594685005128525,-0.9447828788580465
6,1.2592244042942482,-0.8546716091683684,-0.9981585972119277,-1.3075906746488704,-1.435669197543097
8,1.3704416743950407,-0.8546716091683684,-0.4512971323973155,1.3574749834142168,0.8620965494933096
11,-0.9873644517417604,-0.38272500153338834,0.5949740491780706,2.254200504376427,-0.34945266258043206
14,2.182327746130826,-0.8546716091683684,-0.8491890459165865,-0.5816049162834127,-0.694117524635893
16,0.21378206534679864,-0.38272500153338834,-0.31458176619366246,0.03789333738621964,0.48609851816007943
17,-0.9206340896812849,0.5611682137365718,0.8091122426357147,0.41401727711421055,2.287755751631807
18,2.2268146541711427,-0.38272500153338834,-0.18262043324244745,0.3594424309576002,-0.7358950836729187
19,-0.9651209977216019,-0.8546716091683684,-0.8801936106063999,-0.7327020513247864,0.16232243562313123
22,-0.20884356103621285,0.0892216061015917,0.7868775405295915,1.1652218668282406,1.1197248302216343
23,2.4492491943727277,-0.8546716091683684,-0.591260595854187,0.6753793452274442,0.41298778984528467
25,-0.8872689086510471,-0.38272500153338834,-0.4541023072978224,-0.3020752164568713,-0.7150063041544058
28,-0.09762629093542036,-0.38272500153338834,0.12869492440012578,1.118021999881983,0.4808763232804512
29,-0.7649299115401753,0.5611682137365718,2.8933719577907797,2.9533665212720406,1.298149821942264
30,-0.9539992707115226,1.0331148213715518,1.5948712604245505,0.7074838888729018,0.04325639236760829
31,1.0479115911027423,1.0331148213715518,1.6026224015970036,0.7150387456249702,1.5556040295079339
32,-0.6870778224696206,-0.38272500153338834,-0.26546167727794395,0.1575838536439935,-0.9865604378950721
34,-0.8316602736006509,1.5050614290065318,2.9758293357872594,1.3865671778277386,0.9003926452772496
35,-0.11986974495557885,-0.8546716091683684,-0.31777080713318606,2.0081999783257336,2.042312592289282
36,-0.7649299115401753,-0.8546716091683684,-0.44909728471218113,1.368195684900486,1.4887599350486933
37,-0.20884356103621285,0.5611682137365718,1.207004156154986,0.8987872520386184,0.48609851816007943
38,-0.29781737711684686,-0.38272500153338834,0.7491405560785616,2.629856762495957,2.6324206136872683
42,0.3138776084375119,0.5611682137365718,0.5072606592627467,0.04625764307601014,1.431315791372783
43,2.3602753782920938,-0.8546716091683684,-1.0050977140710764,-1.3414076524914635,-1.5296687053764046
44,2.582709918493679,-0.8546716091683684,-0.7964812859439038,-0.3247397867130774,-0.6627843553581239
45,-0.45352155525795634,-0.8546716091683684,-0.4980992610005099,1.129390260518429,-0.6418955758396111
48,-0.45352155525795634,1.0331148213715518,1.3923228685295272,0.5100646892888441,1.3132941870931858
49,-0.6425909144293036,1.0331148213715518,3.135118977900782,2.2087274618306423,1.298672041430227
51,2.4270057403525693,-0.38272500153338834,-0.10592104583121888,0.5463351968004421,-0.5426738731266754
52,-0.1754783800059751,0.0892216061015917,0.6818163584663957,0.9945540552481749,1.241576044079625
53,-0.2644521960866091,0.0892216061015917,-0.010294109880780207,-0.12975253149301874,-0.648858502345782
54,1.4038068554252785,0.0892216061015917,-0.29921236055456935,-0.5990890133382003,-0.6001180168025855
57,0.2471472463770364,-0.8546716091683684,-0.14246213992992726,2.8625463504596724,2.6063096392891274
58,-0.29781737711684686,-0.8546716091683684,-0.24313839070127832,2.3719123676753258,1.958757474215231
59,-0.8316602736006509,0.5611682137365718,0.06196128992490847,-0.4962710104933798,-0.38078583185820125
60,0.05807788720568915,0.0892216061015917,0.05682339063345383,-0.02072275754094172,-0.35641558908660304
61,-0.9984861787518396,2.4489546442764922,1.6155409702177592,-0.2757141627184031,0.10357274322731402
64,1.1591288612035349,-0.8546716091683684,-0.2692117531975689,2.2448468722071993,1.0500955651599246
65,-0.7649299115401753,0.0892216061015917,0.08965870104780836,0.03261692949588584,0.21106292116632763
68,-0.5313736443285111,-0.8546716091683684,-0.7510079243988443,-0.1031306553190627,-0.4225633908952268
72,-0.0642611099051826,-0.38272500153338834,0.060632522866773654,0.9521749064199035,0.41298778984528467
74,0.10256479524600615,-0.8546716091683684,-0.3780525393372375,1.714423977195291,0.5592092464748742
78,-0.9762427247316812,-0.8546716091683684,-0.8755281618245042,-0.709965530051894,0.25632194345643877
80,-0.7649299115401753,-0.8546716091683684,-0.9326060890106082,-0.9881281605613944,-0.9970048276543284
82,1.6929717576873387,-0.8546716091683684,-0.42606532237117695,1.4804392709312209,0.3398770615304899
83,-0.5202519173184319,-0.8546716091683684,-0.4659873904289175,1.2858837218112804,0.8934297187710788
85,0.7253815078104442,-0.38272500153338834,-0.8374073113344574,-1.2360713640626202,-0.9761160481358157
87,-0.8205385465905716,-0.38272500153338834,-0.4938619704929021,-0.3989572604250664,-0.6784509399970085
90,-0.1977218340261336,1.5050614290065318,2.5125325548509063,1.010263360558032,1.9918313751195431
92,-0.2755739230966884,1.9770080366415121,2.3595324101458894,0.4811424363242577,-0.3867540545777763
93,-0.21996528804629212,-0.38272500153338834,0.2691898946802513,1.460364937275724,0.9978736163636427
94,0.035834433185530645,-0.38272500153338834,0.09125322151757026,1.0267881107236676,-0.14578706227493238
95,-0.7982950925704131,-0.38272500153338834,0.6267611100243412,2.3316557738393024,1.1545394627524885
96,-0.4201563742277186,0.5611682137365718,0.8558848430820617,0.47100248232981445,0.3816546205675155
97,-0.8983906356611263,2.4489546442764922,0.6599212301640177,-0.8578518509736386,-1.4983355360986355
98,-0.8205385465905716,-0.38272500153338834,-0.033783758652919854,0.7221115305652402,0.8568743546136814
99,1.0812767721329801,-0.38272500153338834,-0.05246031785892625,0.6766025125111127,0.26676633321569515
107,-0.9651209977216019,-0.8546716091683684,-0.12413991860609001,2.9518375621674555,0.820318990456284
108,-0.8872689086510471,-0.8546716091683684,-0.35119668068448956,1.8453028765477955,2.3765330645854865
111,-0.8205385465905716,2.4489546442764922,2.5392850649546883,0.2870057449085988,-0.19539791363140024
113,-0.8983906356611263,0.0892216061015917,0.7877929133918623,1.1667088545064257,0.197137068153986
116,-0.5758605523688282,-0.8546716091683684,-0.4498207245549434,1.3646700850828541,1.0709843446784375
